"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
A-SubjectiveAssessmentAttribute,238564,mayor,238564,AQ0CS0,238564,"Fuente_Virginia_ES.eaf"
BodyPart,239485,ojera,239485,NCFP000,239485,"Fuente_Virginia_ES.eaf"
BodyPart,240099,barba,240099,NCFS000,240099,"Fuente_Virginia_ES.eaf"
BodyPart,240713,pelo,240713,NCMS000,240713,"Fuente_Virginia_ES.eaf"
A-SubjectiveAssessmentAttribute,241020,desaliñar,241020,VMP00SM,241020,"Fuente_Virginia_ES.eaf"
Seeing,241634,contemplar,241634,VMIP3S0,241634,"Fuente_Virginia_ES.eaf"
A-StateOfMind,241941,distraer,241941,VMP00SM,241941,"Fuente_Virginia_ES.eaf"
possesses,242862,tener,242862,VMIP3S0,242862,"Fuente_Virginia_ES.eaf"
-,243476,frente,243476,NCFS000,243476,"Fuente_Virginia_ES.eaf"
Touching,248074,toquetear,248074,VMIP3S0,248074,"Fuente_Virginia_ES.eaf"
Object,249034,tapa,249034,NCFS000,249034,"Fuente_Virginia_ES.eaf"
-,250474,café,250474,NCMS000,250474,"Fuente_Virginia_ES.eaf"
Putting,251914,quitar,251914,VMIP3S0,251914,"Fuente_Virginia_ES.eaf"
Smelling,253354,oler,253354,VMN0000,253354,"Fuente_Virginia_ES.eaf"
Seeing,255274,mirar,255274,VMIP3S0,255274,"Fuente_Virginia_ES.eaf"
StateOfMind,256234,desgana,256234,NCFS000,256234,"Fuente_Virginia_ES.eaf"
Drinking,257674,pegar_un_trago,257674,VMIP3S0,257674,"Fuente_Virginia_ES.eaf"
Aux,264764,ser,264764,VA,264764,"Fuente_Virginia_ES.eaf"
Human,265940,jubilado,265940,NCMS000,265940,"Fuente_Virginia_ES.eaf"
located,267717,estar,267717,VAIP3S0,267717,"Fuente_Virginia_ES.eaf"
A-PositionalAttribute,268011,sentar,268011,VMP00SM,268011,"Fuente_Virginia_ES.eaf"
